STAROST,POSAO,BRACNO_STANJE,OBRAZOVANJE,SREDNJE_GOD_STANJE_EUR,STAMBENI_KREDIT,LICNI_KREDIT,KONTAKT,DUZINA_RAZGOVORA_SEC,BROJ_RAZGOVORA,OROCENA_STEDNJA
38,tehnicar,samac,srednje,50,ne,ne,mobilni,98,2,ne
34,tehnicar,u_braku,visoko,1539,da,ne,mobilni,441,1,da
53,manuelni_poslovi,u_braku,srednje,2231,da,ne,mobilni,272,3,ne
48,admin.,u_braku,srednje,3064,da,ne,fiksni,159,2,ne
57,rukovodstvo,u_braku,srednje,82,ne,da,fiksni,140,1,ne
33,samozaposlen,samac,visoko,2155,ne,ne,mobilni,295,1,ne
36,retired,samac,srednje,101,da,da,nepoznato,314,1,ne
54,tehnicar,razveden(a),srednje,784,da,da,nepoznato,579,1,ne
41,manuelni_poslovi,u_braku,osnevne,-516,ne,da,fiksni,554,3,ne
63,retired,u_braku,srednje,415,da,ne,mobilni,323,1,ne
48,rukovodstvo,u_braku,visoko,5887,ne,ne,mobilni,227,2,ne
48,usluge,u_braku,srednje,1355,ne,ne,mobilni,134,2,ne
56,admin.,u_braku,srednje,16873,ne,ne,mobilni,223,1,ne
51,manuelni_poslovi,razveden(a),srednje,203,da,ne,mobilni,134,1,ne
31,usluge,u_braku,srednje,338,da,ne,mobilni,155,1,ne
29,tehnicar,u_braku,srednje,444,da,ne,mobilni,130,4,ne
41,rukovodstvo,u_braku,srednje,0,ne,da,mobilni,630,3,ne
32,tehnicar,samac,visoko,360,ne,ne,mobilni,164,2,ne
37,rukovodstvo,u_braku,visoko,0,ne,ne,mobilni,268,2,da
42,preduzetnik,razveden(a),visoko,2,da,ne,nepoznato,380,1,ne
31,rukovodstvo,samac,visoko,6248,da,ne,nepoznato,154,2,ne
41,usluge,u_braku,visoko,412,da,ne,nepoznato,154,5,ne
56,retired,u_braku,srednje,344,da,ne,nepoznato,221,1,ne
54,rukovodstvo,razveden(a),visoko,3222,ne,ne,mobilni,67,2,ne
41,manuelni_poslovi,razveden(a),srednje,174,da,ne,mobilni,367,2,ne
40,tehnicar,samac,srednje,591,ne,da,mobilni,87,6,ne
50,manuelni_poslovi,razveden(a),osnevne,388,ne,ne,mobilni,701,1,ne
40,nezaposlen,u_braku,srednje,219,da,ne,mobilni,204,2,ne
27,admin.,razveden(a),srednje,451,da,ne,mobilni,652,1,da
60,retired,u_braku,osnevne,5,ne,ne,mobilni,63,2,ne
28,admin.,samac,srednje,177,da,da,mobilni,150,1,ne
52,usluge,u_braku,srednje,657,ne,ne,fiksni,398,2,da
37,rukovodstvo,u_braku,visoko,1315,ne,ne,mobilni,224,1,da
51,manuelni_poslovi,u_braku,osnevne,1466,da,ne,nepoznato,406,2,ne
41,tehnicar,samac,srednje,879,ne,da,mobilni,60,4,ne
35,manuelni_poslovi,samac,osnevne,293,da,ne,nepoznato,521,2,ne
38,admin.,u_braku,srednje,424,da,ne,mobilni,279,1,ne
34,manuelni_poslovi,u_braku,srednje,1831,da,ne,nepoznato,203,2,ne
39,manuelni_poslovi,u_braku,osnevne,111,ne,ne,mobilni,201,2,ne
34,manuelni_poslovi,u_braku,osnevne,455,da,ne,nepoznato,372,3,ne
27,usluge,samac,srednje,-195,da,ne,mobilni,391,1,da
32,rukovodstvo,samac,visoko,3616,ne,ne,mobilni,165,2,ne
57,manuelni_poslovi,u_braku,srednje,14093,ne,ne,mobilni,231,5,ne
41,nepoznato,samac,visoko,1567,ne,ne,mobilni,291,2,ne
41,admin.,u_braku,visoko,5426,da,ne,nepoznato,149,2,ne
30,admin.,samac,visoko,261,ne,ne,mobilni,233,1,ne
36,manuelni_poslovi,razveden(a),srednje,2843,ne,ne,mobilni,473,1,ne
31,nezaposlen,samac,osnevne,406,ne,ne,mobilni,736,1,da
36,manuelni_poslovi,u_braku,srednje,0,da,ne,nepoznato,337,1,ne
38,rukovodstvo,samac,visoko,493,da,ne,mobilni,553,1,ne
49,tehnicar,u_braku,srednje,5996,ne,ne,fiksni,345,2,ne
57,usluge,samac,osnevne,3777,da,ne,fiksni,65,2,ne
34,rukovodstvo,samac,srednje,524,ne,ne,nepoznato,9,1,ne
32,rukovodstvo,samac,visoko,574,da,ne,mobilni,259,2,ne
37,manuelni_poslovi,u_braku,srednje,427,da,da,nepoznato,371,3,ne
33,samozaposlen,u_braku,visoko,483,da,ne,mobilni,280,2,ne
56,nezaposlen,u_braku,osnevne,3391,ne,ne,mobilni,243,1,da
27,sluzavka,u_braku,osnevne,0,da,ne,mobilni,435,3,ne
21,student,samac,srednje,2488,ne,ne,mobilni,258,6,da
58,rukovodstvo,u_braku,visoko,1517,da,ne,fiksni,7,5,ne
32,samozaposlen,u_braku,srednje,217,da,da,mobilni,317,5,ne
33,manuelni_poslovi,samac,srednje,22,ne,ne,mobilni,76,2,ne
25,student,samac,srednje,331,ne,ne,fiksni,170,4,da
25,tehnicar,samac,srednje,505,ne,da,mobilni,386,2,da
30,usluge,u_braku,srednje,1808,da,ne,mobilni,83,2,ne
22,admin.,samac,srednje,4111,ne,da,mobilni,65,1,ne
39,manuelni_poslovi,u_braku,osnevne,52,ne,ne,mobilni,69,1,ne
46,rukovodstvo,razveden(a),visoko,25,ne,ne,nepoznato,564,2,ne
31,admin.,razveden(a),srednje,1890,da,ne,mobilni,588,1,ne
45,manuelni_poslovi,u_braku,osnevne,419,ne,ne,mobilni,113,4,ne
32,tehnicar,u_braku,srednje,2693,da,ne,nepoznato,16,1,ne
36,manuelni_poslovi,u_braku,srednje,-231,ne,da,mobilni,779,2,ne
51,rukovodstvo,samac,visoko,-55,da,ne,mobilni,281,2,ne
34,samozaposlen,samac,visoko,462,ne,ne,mobilni,1877,3,da
24,nezaposlen,samac,srednje,119,ne,ne,nepoznato,51,1,ne
45,tehnicar,samac,srednje,586,ne,da,mobilni,32,3,ne
32,manuelni_poslovi,samac,srednje,228,ne,ne,fiksni,176,1,ne
77,retired,razveden(a),visoko,4659,ne,ne,mobilni,161,1,da
41,manuelni_poslovi,u_braku,osnevne,168,da,ne,mobilni,187,3,ne
37,manuelni_poslovi,u_braku,osnevne,0,da,ne,nepoznato,24,1,ne
43,manuelni_poslovi,u_braku,nepoznato,-715,da,ne,nepoznato,67,3,ne
48,admin.,u_braku,nepoznato,0,da,ne,mobilni,85,1,ne
27,tehnicar,samac,srednje,769,da,ne,nepoznato,317,2,ne
33,rukovodstvo,samac,visoko,0,ne,ne,mobilni,236,10,ne
29,admin.,samac,srednje,428,da,da,mobilni,54,1,ne
34,rukovodstvo,samac,visoko,0,ne,ne,mobilni,71,1,ne
52,rukovodstvo,u_braku,visoko,-970,da,ne,mobilni,489,1,da
60,rukovodstvo,u_braku,nepoznato,6313,ne,ne,nepoznato,39,2,ne
32,rukovodstvo,razveden(a),visoko,948,ne,ne,mobilni,204,2,ne
32,rukovodstvo,samac,visoko,0,da,ne,mobilni,455,2,ne
56,usluge,razveden(a),nepoznato,1877,da,ne,nepoznato,86,1,ne
31,rukovodstvo,samac,visoko,874,da,ne,mobilni,190,2,ne
42,admin.,u_braku,srednje,323,da,da,nepoznato,280,2,ne
35,rukovodstvo,u_braku,visoko,106,ne,da,mobilni,588,2,ne
56,retired,u_braku,osnevne,1906,ne,da,nepoznato,45,9,ne
48,tehnicar,u_braku,srednje,1152,da,ne,mobilni,168,5,ne
46,admin.,u_braku,srednje,179,da,ne,mobilni,194,4,ne
37,tehnicar,samac,nepoznato,391,da,ne,nepoznato,103,3,ne
41,preduzetnik,u_braku,nepoznato,89,da,ne,nepoznato,333,2,ne
36,rukovodstvo,samac,visoko,442,da,da,mobilni,102,3,ne
45,nezaposlen,razveden(a),osnevne,-249,da,da,nepoznato,92,1,ne
55,preduzetnik,u_braku,srednje,8104,ne,ne,mobilni,213,2,ne
39,tehnicar,u_braku,srednje,501,ne,ne,nepoznato,289,1,ne
35,tehnicar,razveden(a),srednje,308,ne,ne,mobilni,77,2,ne
55,admin.,u_braku,srednje,602,ne,ne,mobilni,324,3,da
55,tehnicar,u_braku,srednje,273,da,ne,mobilni,84,3,ne
27,samozaposlen,samac,srednje,50,ne,ne,mobilni,168,1,ne
34,tehnicar,u_braku,srednje,1641,da,ne,mobilni,380,1,ne
34,manuelni_poslovi,u_braku,visoko,20,ne,ne,nepoznato,10,1,ne
25,admin.,samac,srednje,4590,da,ne,nepoznato,199,2,ne
41,admin.,samac,srednje,-256,ne,da,nepoznato,35,3,ne
43,usluge,u_braku,srednje,978,da,da,nepoznato,82,2,ne
28,rukovodstvo,samac,visoko,80,ne,ne,mobilni,676,2,da
31,admin.,samac,srednje,2104,da,ne,nepoznato,455,1,ne
78,sluzavka,u_braku,srednje,499,ne,ne,fiksni,80,4,ne
45,manuelni_poslovi,razveden(a),srednje,1269,da,ne,mobilni,549,2,ne
48,tehnicar,u_braku,visoko,310,ne,ne,nepoznato,135,1,ne
32,manuelni_poslovi,samac,srednje,1143,da,da,mobilni,412,1,ne
42,tehnicar,u_braku,srednje,2980,ne,ne,nepoznato,101,3,ne
37,rukovodstvo,samac,visoko,37,ne,ne,mobilni,253,2,ne
40,admin.,samac,srednje,462,da,da,mobilni,272,1,ne
32,admin.,u_braku,srednje,1031,da,ne,mobilni,84,1,ne
42,rukovodstvo,u_braku,visoko,9009,ne,ne,mobilni,135,2,ne
43,admin.,u_braku,srednje,-465,da,da,mobilni,166,1,ne
44,admin.,u_braku,srednje,5181,da,da,mobilni,18,7,ne
37,admin.,u_braku,srednje,176,da,ne,mobilni,147,2,ne
37,nepoznato,u_braku,nepoznato,1699,ne,ne,nepoznato,63,1,ne
37,admin.,u_braku,visoko,0,da,ne,mobilni,65,2,ne
28,tehnicar,samac,visoko,172,da,da,mobilni,194,2,ne
32,usluge,samac,srednje,0,ne,da,mobilni,333,2,ne
34,admin.,samac,srednje,6979,da,ne,mobilni,14,5,ne
40,admin.,razveden(a),srednje,6,ne,ne,nepoznato,140,1,ne
34,usluge,u_braku,srednje,-62,da,ne,nepoznato,109,3,ne
34,samozaposlen,u_braku,visoko,1972,da,ne,mobilni,61,2,ne
34,admin.,u_braku,visoko,899,da,ne,fiksni,377,3,ne
37,usluge,samac,srednje,21,da,ne,mobilni,96,1,ne
36,tehnicar,u_braku,srednje,23,da,ne,mobilni,152,2,ne
56,retired,u_braku,srednje,-1206,da,ne,mobilni,382,2,da
49,manuelni_poslovi,u_braku,osnevne,0,da,da,fiksni,97,6,ne
33,samozaposlen,u_braku,srednje,215,da,ne,mobilni,543,12,ne
30,rukovodstvo,samac,visoko,1372,ne,ne,mobilni,240,2,ne
36,usluge,u_braku,srednje,1981,ne,ne,nepoznato,48,2,ne
23,student,samac,srednje,9216,ne,ne,mobilni,471,2,ne
57,retired,razveden(a),srednje,39,da,ne,mobilni,354,3,ne
27,manuelni_poslovi,samac,srednje,5563,da,ne,nepoznato,435,2,ne
38,usluge,u_braku,srednje,1,ne,da,mobilni,152,2,ne
42,tehnicar,u_braku,visoko,782,ne,ne,mobilni,285,1,ne
75,retired,u_braku,srednje,3771,ne,ne,fiksni,185,1,da
34,tehnicar,samac,visoko,992,da,ne,mobilni,301,1,ne
48,tehnicar,u_braku,srednje,1526,ne,ne,mobilni,273,2,ne
35,tehnicar,samac,visoko,2658,da,ne,mobilni,768,2,da
39,rukovodstvo,razveden(a),visoko,1315,da,ne,mobilni,1337,4,ne
29,manuelni_poslovi,samac,visoko,455,ne,ne,fiksni,403,1,da
45,tehnicar,samac,visoko,0,da,ne,mobilni,139,2,ne
42,tehnicar,u_braku,srednje,2030,da,da,mobilni,196,1,ne
29,tehnicar,u_braku,srednje,1599,da,ne,mobilni,115,1,ne
38,usluge,samac,srednje,-196,da,ne,mobilni,60,1,ne
56,retired,u_braku,srednje,1333,ne,ne,mobilni,17,14,ne
36,tehnicar,samac,srednje,9149,da,ne,mobilni,141,3,ne
25,manuelni_poslovi,samac,srednje,-350,da,ne,nepoznato,95,3,ne
38,tehnicar,u_braku,visoko,432,da,ne,mobilni,10,2,ne
57,samozaposlen,u_braku,srednje,11494,ne,ne,mobilni,198,1,ne
31,rukovodstvo,u_braku,visoko,-253,ne,ne,mobilni,220,4,ne
42,rukovodstvo,u_braku,visoko,372,da,ne,mobilni,654,2,da
45,tehnicar,u_braku,srednje,1410,ne,ne,mobilni,71,2,ne
30,manuelni_poslovi,u_braku,srednje,975,da,ne,mobilni,256,2,ne
49,manuelni_poslovi,u_braku,osnevne,305,da,da,fiksni,834,10,ne
49,usluge,u_braku,srednje,400,ne,ne,mobilni,151,3,ne
53,retired,u_braku,visoko,-22,da,ne,mobilni,20,3,ne
37,tehnicar,u_braku,srednje,4030,da,ne,nepoznato,178,5,ne
49,manuelni_poslovi,u_braku,osnevne,365,ne,ne,nepoznato,59,2,ne
41,samozaposlen,u_braku,osnevne,204,ne,ne,mobilni,111,7,ne
54,rukovodstvo,u_braku,osnevne,1691,da,ne,mobilni,186,1,ne
32,usluge,samac,srednje,406,da,ne,nepoznato,227,1,ne
33,tehnicar,u_braku,srednje,-204,ne,ne,mobilni,297,3,ne
33,tehnicar,u_braku,srednje,359,da,ne,mobilni,210,1,ne
36,manuelni_poslovi,u_braku,osnevne,123,da,ne,mobilni,9,1,ne
35,tehnicar,u_braku,visoko,0,da,da,mobilni,112,1,ne
52,nepoznato,u_braku,srednje,142,ne,ne,mobilni,112,6,ne
40,preduzetnik,u_braku,visoko,3571,ne,ne,nepoznato,222,3,ne
44,tehnicar,samac,srednje,33,da,ne,mobilni,195,3,ne
45,manuelni_poslovi,samac,srednje,0,da,ne,mobilni,768,2,ne
30,student,samac,srednje,3096,ne,ne,mobilni,123,1,ne
48,tehnicar,razveden(a),srednje,20,ne,ne,mobilni,145,3,ne
33,manuelni_poslovi,u_braku,srednje,3576,da,ne,mobilni,124,1,ne
57,tehnicar,u_braku,nepoznato,206,da,ne,nepoznato,216,3,ne
57,sluzavka,u_braku,osnevne,7082,ne,ne,nepoznato,69,3,ne
51,nezaposlen,u_braku,visoko,1634,da,ne,mobilni,168,4,ne
34,admin.,samac,srednje,1,da,ne,mobilni,483,7,ne
50,samozaposlen,u_braku,visoko,4012,ne,ne,mobilni,690,3,ne
44,rukovodstvo,u_braku,visoko,3762,ne,ne,mobilni,125,12,ne
27,admin.,u_braku,srednje,-247,da,da,nepoznato,344,2,ne
50,manuelni_poslovi,u_braku,srednje,606,da,ne,nepoznato,673,2,ne
36,rukovodstvo,u_braku,visoko,0,da,ne,mobilni,60,1,ne
42,rukovodstvo,u_braku,srednje,-189,da,ne,nepoznato,247,2,ne
32,nezaposlen,samac,srednje,0,ne,ne,mobilni,123,2,ne
42,rukovodstvo,u_braku,visoko,484,da,ne,mobilni,144,2,ne
43,tehnicar,u_braku,srednje,0,ne,da,mobilni,9,2,ne
31,rukovodstvo,u_braku,visoko,395,da,ne,mobilni,155,3,ne
32,rukovodstvo,u_braku,visoko,2349,ne,ne,mobilni,134,5,ne
55,manuelni_poslovi,razveden(a),osnevne,410,ne,da,mobilni,221,2,ne
58,retired,u_braku,osnevne,3401,da,ne,mobilni,84,3,ne
46,manuelni_poslovi,u_braku,osnevne,222,ne,ne,mobilni,71,2,ne
55,manuelni_poslovi,u_braku,srednje,989,da,da,nepoznato,246,4,ne
34,rukovodstvo,u_braku,visoko,415,ne,da,mobilni,361,2,ne
28,nezaposlen,samac,srednje,16,ne,ne,mobilni,119,4,ne
42,tehnicar,razveden(a),visoko,7190,da,ne,mobilni,375,2,ne
29,manuelni_poslovi,samac,srednje,482,ne,da,mobilni,1097,3,da
54,sluzavka,u_braku,srednje,209,da,da,mobilni,97,1,ne
32,tehnicar,samac,srednje,0,ne,ne,mobilni,181,2,ne
39,tehnicar,samac,visoko,5803,ne,ne,mobilni,83,3,ne
53,preduzetnik,u_braku,visoko,624,ne,da,mobilni,180,4,ne
58,tehnicar,u_braku,visoko,883,ne,ne,mobilni,543,1,ne
40,samozaposlen,u_braku,srednje,1516,da,da,nepoznato,373,1,ne
29,student,samac,srednje,872,da,ne,nepoznato,230,1,ne
33,tehnicar,u_braku,visoko,-988,da,da,mobilni,83,3,ne
38,admin.,samac,srednje,902,da,ne,fiksni,58,13,ne
56,usluge,razveden(a),srednje,1007,ne,ne,mobilni,88,6,ne
40,usluge,u_braku,srednje,0,da,ne,mobilni,297,1,ne
24,manuelni_poslovi,samac,srednje,174,da,da,mobilni,487,1,da
46,rukovodstvo,u_braku,srednje,12186,ne,ne,nepoznato,29,3,ne
35,samozaposlen,u_braku,srednje,524,da,ne,mobilni,484,4,ne
35,manuelni_poslovi,samac,visoko,0,da,ne,mobilni,262,4,ne
34,tehnicar,u_braku,srednje,4,da,ne,nepoznato,644,1,ne
35,sluzavka,u_braku,visoko,11219,ne,ne,mobilni,699,2,ne
38,tehnicar,samac,visoko,0,ne,ne,mobilni,247,2,ne
50,manuelni_poslovi,u_braku,osnevne,5776,ne,ne,mobilni,49,3,ne
51,manuelni_poslovi,razveden(a),osnevne,37,da,ne,mobilni,341,1,ne
59,samozaposlen,u_braku,visoko,593,ne,ne,nepoznato,64,2,ne
32,manuelni_poslovi,u_braku,srednje,1148,da,ne,mobilni,121,1,ne
37,manuelni_poslovi,samac,srednje,3561,da,ne,nepoznato,98,1,ne
42,admin.,razveden(a),srednje,63,ne,ne,nepoznato,88,6,ne
40,student,u_braku,srednje,260,ne,ne,nepoznato,197,6,ne
28,tehnicar,samac,visoko,2269,da,ne,nepoznato,331,1,ne
47,admin.,u_braku,srednje,1060,da,ne,nepoznato,83,3,ne
27,samozaposlen,u_braku,srednje,-220,da,ne,nepoznato,138,2,ne
41,rukovodstvo,u_braku,visoko,49,da,ne,mobilni,312,5,ne
34,admin.,u_braku,visoko,69,ne,da,mobilni,120,3,da
50,manuelni_poslovi,u_braku,osnevne,4108,da,ne,mobilni,526,2,da
47,manuelni_poslovi,u_braku,srednje,480,da,ne,nepoznato,211,2,ne
53,usluge,u_braku,srednje,4994,ne,ne,mobilni,62,6,ne
53,tehnicar,razveden(a),srednje,0,da,da,mobilni,135,5,ne
47,rukovodstvo,u_braku,visoko,3681,ne,ne,mobilni,101,2,ne
49,preduzetnik,razveden(a),nepoznato,-701,da,ne,mobilni,988,2,da
29,rukovodstvo,u_braku,visoko,451,ne,ne,mobilni,451,1,ne
45,manuelni_poslovi,razveden(a),osnevne,-311,da,ne,nepoznato,1030,1,da
38,preduzetnik,u_braku,srednje,593,da,da,mobilni,1484,24,da
32,manuelni_poslovi,u_braku,srednje,759,da,ne,mobilni,317,5,da
70,retired,razveden(a),osnevne,4531,ne,ne,mobilni,445,1,ne
65,retired,razveden(a),osnevne,1840,ne,ne,mobilni,383,2,ne
56,manuelni_poslovi,u_braku,srednje,345,da,ne,fiksni,605,1,ne
35,manuelni_poslovi,u_braku,srednje,1287,da,ne,mobilni,330,2,ne
56,rukovodstvo,u_braku,nepoznato,353,ne,da,mobilni,171,2,ne
56,tehnicar,u_braku,srednje,205,ne,da,mobilni,442,2,ne
49,preduzetnik,u_braku,srednje,687,da,ne,mobilni,772,1,da
38,nezaposlen,u_braku,osnevne,1147,da,da,nepoznato,249,5,ne
35,rukovodstvo,u_braku,visoko,4286,da,ne,nepoznato,357,1,ne
38,admin.,u_braku,visoko,605,ne,ne,mobilni,147,2,ne
49,manuelni_poslovi,u_braku,srednje,8545,da,da,mobilni,199,7,ne
55,rukovodstvo,u_braku,nepoznato,559,ne,ne,mobilni,271,2,ne
43,manuelni_poslovi,samac,osnevne,2,da,ne,mobilni,783,3,ne
43,rukovodstvo,u_braku,visoko,2,ne,da,mobilni,472,2,ne
25,admin.,samac,visoko,760,da,ne,mobilni,223,3,da
30,manuelni_poslovi,u_braku,osnevne,1317,da,ne,nepoznato,395,2,ne
46,manuelni_poslovi,u_braku,srednje,182,ne,ne,mobilni,56,1,ne
50,admin.,u_braku,osnevne,276,ne,da,nepoznato,641,6,ne
35,preduzetnik,u_braku,srednje,2971,ne,ne,mobilni,429,4,da
26,nezaposlen,samac,srednje,1064,ne,ne,nepoznato,113,1,ne
45,admin.,u_braku,nepoznato,1783,ne,ne,nepoznato,11,11,ne
37,manuelni_poslovi,u_braku,srednje,-67,ne,ne,mobilni,157,1,ne
60,samozaposlen,samac,visoko,179,ne,da,mobilni,79,4,ne
38,rukovodstvo,u_braku,visoko,1199,ne,ne,mobilni,178,1,da
47,manuelni_poslovi,u_braku,osnevne,214,da,da,nepoznato,168,1,ne
33,tehnicar,u_braku,srednje,6699,ne,ne,mobilni,425,1,ne
51,nezaposlen,u_braku,srednje,1760,ne,da,mobilni,162,1,ne
35,preduzetnik,samac,visoko,145,da,ne,mobilni,799,2,da
35,nezaposlen,u_braku,srednje,978,ne,ne,mobilni,1370,3,da
48,admin.,samac,srednje,1150,da,ne,nepoznato,357,1,ne
37,admin.,u_braku,srednje,121,ne,ne,mobilni,22,6,ne
29,tehnicar,samac,visoko,828,da,ne,mobilni,215,3,ne
34,admin.,u_braku,srednje,244,da,ne,mobilni,56,4,ne
32,usluge,u_braku,osnevne,228,da,ne,mobilni,1017,6,da
30,rukovodstvo,samac,visoko,424,ne,ne,mobilni,298,4,da
47,rukovodstvo,razveden(a),visoko,447,ne,da,nepoznato,126,1,ne
33,manuelni_poslovi,u_braku,osnevne,-195,ne,ne,nepoznato,9,1,ne
33,rukovodstvo,samac,visoko,1410,da,ne,mobilni,8,1,ne
63,retired,u_braku,osnevne,1084,ne,ne,mobilni,201,1,ne
51,samozaposlen,razveden(a),osnevne,10924,ne,ne,mobilni,106,2,ne
41,rukovodstvo,u_braku,visoko,832,da,da,mobilni,164,1,ne
56,retired,u_braku,visoko,478,ne,ne,mobilni,97,1,ne
60,rukovodstvo,samac,visoko,0,ne,da,mobilni,151,1,ne
41,samozaposlen,samac,visoko,3950,da,ne,nepoznato,96,2,ne
37,rukovodstvo,samac,nepoznato,504,da,ne,mobilni,555,1,ne
36,manuelni_poslovi,samac,srednje,219,da,da,mobilni,270,2,ne
57,rukovodstvo,u_braku,visoko,1602,ne,ne,mobilni,339,3,ne
55,rukovodstvo,u_braku,osnevne,2587,ne,ne,mobilni,328,2,da
44,admin.,u_braku,srednje,0,da,da,nepoznato,159,1,ne
47,samozaposlen,u_braku,visoko,2303,da,ne,mobilni,323,2,ne
31,manuelni_poslovi,u_braku,srednje,1660,da,ne,mobilni,342,1,ne
35,rukovodstvo,u_braku,visoko,32,da,ne,mobilni,180,1,ne
39,rukovodstvo,u_braku,visoko,278,ne,da,mobilni,60,3,ne
50,rukovodstvo,u_braku,visoko,4,ne,ne,mobilni,223,1,ne
29,rukovodstvo,u_braku,visoko,318,da,ne,mobilni,1434,2,ne
30,usluge,samac,srednje,209,da,ne,nepoznato,30,2,ne
46,usluge,u_braku,srednje,271,da,ne,nepoznato,134,4,ne
27,rukovodstvo,samac,nepoznato,3196,ne,ne,mobilni,10,2,ne
48,admin.,razveden(a),srednje,4099,ne,ne,mobilni,397,2,da
26,student,samac,srednje,2572,da,ne,mobilni,620,1,ne
36,rukovodstvo,samac,visoko,339,ne,ne,mobilni,6,6,ne
42,manuelni_poslovi,u_braku,osnevne,0,da,da,mobilni,209,2,ne
50,sluzavka,u_braku,osnevne,395,da,ne,nepoznato,419,2,ne
49,manuelni_poslovi,u_braku,srednje,2039,da,ne,mobilni,283,2,ne
45,rukovodstvo,u_braku,visoko,5450,ne,ne,mobilni,188,2,ne
23,student,samac,srednje,780,ne,ne,mobilni,267,1,ne
38,tehnicar,samac,srednje,0,da,ne,mobilni,196,2,ne
32,rukovodstvo,samac,visoko,8436,da,ne,mobilni,245,1,ne
